,BrandName,Details,Sizes,MRP,SellPrice,Discount,Category
21898,inc.5,synthetic slip on womens casual wear sandals - green,"Size:4,5,6,7,8,9",2190,1490,32% off,Footwear-Women
21899,ceriz,pu slip on womens casual ballerinas - natural,"Size:35,36,37,38,39",2099,1259,40% off,Footwear-Women
21900,haute curry,pu slip on womens round toe sandals - peach,"Size:36,37,38,39,40,41",2999,2099,30% off,Footwear-Women
21901,ceriz,pu slip on womens casual sandals - natural,"Size:35,36,37,38,39",2199,1319,40% off,Footwear-Women
21902,skechers,synthetic slip on womens casual sandals - slate,"Size:6,7,8,9",1698,4999,No Discount,Footwear-Women
21903,estatos,pu slipon womens casual bellies - black,"Size:36,37,38,39,40,41",999,649,35% off,Footwear-Women
21904,shoetopia,synthetic womens casual sandals - black,"Size:36,37,38,39,40,41",999,699,30% off,Footwear-Women
21905,puma,leather lace up womens casual shoes - white,"Size:3,4,5,6,7",1698,6999,No Discount,Footwear-Women
21906,estatos,womens casual wear slip on flats - gold,"Size:37,38,39,40",492,320,35% off,Footwear-Women
21907,skechers,synthetic womens casual wear sports sandals - navy,"Size:6,7,8,9,10",1698,3299,No Discount,Footwear-Women
21908,inc.5,synthetic womens casual wear sandals - natural,"Size:4,5,6,7,8,9",2490,1490,40% off,Footwear-Women
21909,w,polyurethane slipon womens casual wear flats - blush,"Size:38,39,40,42",1399,699,50% off,Footwear-Women
21910,shoetopia,suede womens casual sandals - black,"Size:36,37,38,41",999,699,30% off,Footwear-Women
21911,haute curry,polyurethane slipon womens casual wear sandals - multi,"Size:36,37,38,39,40,41",1698,1899,No Discount,Footwear-Women
21912,inc.5,synthetic others womens party wedges heel sandals - peach,"Size:36,37,38",2490,1245,50% off,Footwear-Women
21913,shoetopia,synthetic womens casual flats - copper,"Size:36,37,38,39,40,41",999,499,50% off,Footwear-Women
21914,estatos,pu pointed toe womens casual wear ballerinas - black,"Size:36,37,38,39,40",1099,714,35% off,Footwear-Women
21915,catwalk,metallic fabric slipon womens casual flats - multi,"Size:4,5,6,7,8,9",2295,1119,51% off,Footwear-Women
21916,catwalk,fabric velcro womens casual wear ballerinas - black,"Size:4,5,6,7,8",2795,1397,50% off,Footwear-Women
21917,inc.5,suede slip on womens casual wear sandals - natural,"Size:4,5,6,7,8,9",2190,1490,32% off,Footwear-Women
21918,skechers,mesh lace up womens sports shoes - black,"Size:6,7,8,9",7999,4799,40% off,Footwear-Women
21919,haute curry,suede slip on womens round toe sandals - gold,"Size:35,36,37,38,39,40,41",2999,2399,20% off,Footwear-Women
21920,inc.5,synthetic slip on womens casual wear sandals - grey,"Size:5,6,7,8,9,10",1698,2690,No Discount,Footwear-Women
21921,estatos,synthetic leather round toe womens casual wear sandals - white,"Size:36,37,41",1599,879,45% off,Footwear-Women
21922,catwalk,womens metallic accent slip ons - bronze,"Size:4,5,6,7,8,9",1995,1596,20% off,Footwear-Women
21923,catwalk,synthetic tie up womens active wear sneakers - pink,"Size:4,8,9",3495,1647,53% off,Footwear-Women
21924,haute curry,pu slip on womens one toe flats - black,"Size:36,37,38,39,40,41",2999,2399,20% off,Footwear-Women
